id	layer	check	verdict	subject	evidence	autofix	action
C1-47e4bf	conservation	C1	IDENTISCH	213 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-49a351	conservation	C2	DIVERGIERT	output/de/CodeSystem-mii-qst-pro-eortc-qlq-c30-variant-b_eortc-qlq-c30-cs-b.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/de/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-ba4c3f	conservation	C2	DIVERGIERT	output/de/CodeSystem-mii-qst-pro-eortc-qlq-c30_eortc-qlq-c30-cs.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/de/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-247bc5	conservation	C2	DIVERGIERT	output/de/ValueSet-mii-qst-pro-eortc-qlq-c30-variant-b_eortc-qlq-c30-4pt-b.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/de/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-588af9	conservation	C2	DIVERGIERT	output/de/ValueSet-mii-qst-pro-eortc-qlq-c30-variant-b_eortc-qlq-c30-7pt-b.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/de/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-b18d90	conservation	C2	DIVERGIERT	output/de/ValueSet-mii-qst-pro-eortc-qlq-c30_eortc-qlq-c30-4pt.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/de/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-b30574	conservation	C2	DIVERGIERT	output/de/ValueSet-mii-qst-pro-eortc-qlq-c30_eortc-qlq-c30-7pt.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/de/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-d8b133	conservation	C2	IDENTISCH	output/de (213 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-f8c38b	conservation	C2	DIVERGIERT	output/en/CodeSystem-mii-qst-pro-eortc-qlq-c30-variant-b_eortc-qlq-c30-cs-b.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/en/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
C2-932170	conservation	C2	DIVERGIERT	output/en/CodeSystem-mii-qst-pro-eortc-qlq-c30_eortc-qlq-c30-cs.html	artefact page rendered from OUTSIDE fsh-generated (an input/resources artefact) and NOT listed in output/en/artifacts.html	-	unreachable content: add it to the IG resource's `definition.resource`, or to sushi-config's `resources:`
